"chemical_name","chemid_x","model","trait","p_val_fdr","fdr_one_sided_p","beta_batch","beta","lower95_batch","lower95","upper95_batch","upper95","p_label_batch","p_label","model_batch"
"glucuronide of C10H18O2 (8)*","X100020015","model_1","sdbpc1",0.0362925612173367,0.0323289182062783,"b1",0.118591074738682,"b1",0.032701440334772,"b1",0.204480709142592,"b1","*","model_1.b1"
"glucuronide of C10H18O2 (8)*","X100020015","model_2","sdbpc1",0.0353833144739868,0.0240986017242679,"b1",0.114429301591113,"b1",0.0287588563449422,"b1",0.200099746837284,"b1","*","model_2.b1"
"glucuronide of C10H18O2 (8)*","X100020015","model_3","sdbpc1",0.0881406252928097,0.0240986017242679,"b1",0.0987599903915961,"b1",0.0142229781061604,"b1",0.183297002677032,"b1","","model_3.b1"
"pregnanolone/allopregnanolone sulfate","X100006173","model_1","sdbpc1",0.0206365461737909,0.0409369713838341,"b1",-0.135220609366459,"b1",-0.21968001810929,"b1",-0.0507612006236283,"b1","*","model_1.b1"
"pregnanolone/allopregnanolone sulfate","X100006173","model_2","sdbpc1",0.011415823304331,0.0323289182062783,"b1",-0.136350197276479,"b1",-0.220149140949443,"b1",-0.0525512536035142,"b1","*","model_2.b1"
"pregnanolone/allopregnanolone sulfate","X100006173","model_3","sdbpc1",0.0214191378423995,0.0240986017242679,"b1",-0.13490497724774,"b1",-0.21954177585206,"b1",-0.0502681786434199,"b1","*","model_3.b1"
"glucuronide of C10H18O2 (8)*","X100020015","model_1","sdbpc1",0.0362925612173367,0.0323289182062783,"b2",0.160500540823231,"b2",0.0381606627438811,"b2",0.28284041890258,"b2","*","model_1.b2"
"glucuronide of C10H18O2 (8)*","X100020015","model_2","sdbpc1",0.0353833144739868,0.0240986017242679,"b2",0.179256694090517,"b2",0.0565286410976392,"b2",0.301984747083394,"b2","*","model_2.b2"
"glucuronide of C10H18O2 (8)*","X100020015","model_3","sdbpc1",0.0881406252928097,0.0240986017242679,"b2",0.162974151113062,"b2",0.046912467741721,"b2",0.279035834484403,"b2","*","model_3.b2"
"pregnanolone/allopregnanolone sulfate","X100006173","model_1","sdbpc1",0.0206365461737909,0.0409369713838341,"b2",-0.141029235043282,"b2",-0.256440025023086,"b2",-0.0256184450634775,"b2","*","model_1.b2"
"pregnanolone/allopregnanolone sulfate","X100006173","model_2","sdbpc1",0.011415823304331,0.0323289182062783,"b2",-0.151612449478166,"b2",-0.267299192877743,"b2",-0.0359257060785889,"b2","*","model_2.b2"
"pregnanolone/allopregnanolone sulfate","X100006173","model_3","sdbpc1",0.0214191378423995,0.0240986017242679,"b2",-0.148271733556571,"b2",-0.252641560181198,"b2",-0.0439019069319437,"b2","*","model_3.b2"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","X100008956","model_1","sdbpc2",0.0409419075620904,0.0409369713838341,"b1",-0.0837300449224933,"b1",-0.128890624404346,"b1",-0.0385694654406407,"b1","*","model_1.b1"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","X100008956","model_2","sdbpc2",0.0479778710992184,0.0388184043441639,"b1",-0.0808554298772985,"b1",-0.12682301080147,"b1",-0.0348878489531266,"b1","*","model_2.b1"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","X100008956","model_3","sdbpc2",0.809884872810397,0.340864465165174,"b1",-0.0430721195451047,"b1",-0.102759335349905,"b1",0.0166150962596953,"b1","","model_3.b1"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","X100008957","model_1","sdbpc2",0.0409419075620904,0.0221634463579737,"b1",-0.078283294366219,"b1",-0.120530333321488,"b1",-0.0360362554109505,"b1","*","model_1.b1"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","X100008957","model_2","sdbpc2",0.0479778710992184,0.0221634463579737,"b1",-0.0797382325262189,"b1",-0.122822691563515,"b1",-0.0366537734889231,"b1","*","model_2.b1"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","X100008957","model_3","sdbpc2",0.833417714002198,0.30848402261655,"b1",-0.0355101583680756,"b1",-0.0927483119218965,"b1",0.0217279951857452,"b1","","model_3.b1"
"sphingomyelin (d18:2/24:2)*","X100015789","model_1","sdbpc2",0.0409419075620904,0.0240986017242679,"b1",-0.0928024790724437,"b1",-0.141454247778212,"b1",-0.0441507103666755,"b1","*","model_1.b1"
"sphingomyelin (d18:2/24:2)*","X100015789","model_2","sdbpc2",0.0420371434710498,0.0221634463579737,"b1",-0.0956969788688862,"b1",-0.145051162878274,"b1",-0.0463427948594979,"b1","*","model_2.b1"
"sphingomyelin (d18:2/24:2)*","X100015789","model_3","sdbpc2",0.701201331780176,0.30848402261655,"b1",-0.0616158829881467,"b1",-0.125584022728941,"b1",0.00235225675264738,"b1","","model_3.b1"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","X100008956","model_1","sdbpc2",0.0409419075620904,0.0409369713838341,"b2",-0.0825829948390524,"b2",-0.150546226182457,"b2",-0.014619763495648,"b2","*","model_1.b2"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","X100008956","model_2","sdbpc2",0.0479778710992184,0.0388184043441639,"b2",-0.0830114906783621,"b2",-0.148959867963544,"b2",-0.0170631133931801,"b2","*","model_2.b2"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","X100008956","model_3","sdbpc2",0.809884872810397,0.340864465165174,"b2",-0.0510468761896435,"b2",-0.13390616778024,"b2",0.0318124154009533,"b2","","model_3.b2"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","X100008957","model_1","sdbpc2",0.0409419075620904,0.0221634463579737,"b2",-0.11658375677383,"b2",-0.189341922993486,"b2",-0.0438255905541735,"b2","*","model_1.b2"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","X100008957","model_2","sdbpc2",0.0479778710992184,0.0221634463579737,"b2",-0.122151596696034,"b2",-0.196034167198314,"b2",-0.0482690261937539,"b2","*","model_2.b2"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","X100008957","model_3","sdbpc2",0.833417714002198,0.30848402261655,"b2",-0.0619266336986202,"b2",-0.154172874160741,"b2",0.0303196067635003,"b2","","model_3.b2"
"sphingomyelin (d18:2/24:2)*","X100015789","model_1","sdbpc2",0.0409419075620904,0.0240986017242679,"b2",-0.128918279793702,"b2",-0.219452142117089,"b2",-0.0383844174703147,"b2","*","model_1.b2"
"sphingomyelin (d18:2/24:2)*","X100015789","model_2","sdbpc2",0.0420371434710498,0.0221634463579737,"b2",-0.14041056720117,"b2",-0.230813512991868,"b2",-0.0500076214104727,"b2","*","model_2.b2"
"sphingomyelin (d18:2/24:2)*","X100015789","model_3","sdbpc2",0.701201331780176,0.30848402261655,"b2",-0.0695220427877814,"b2",-0.173468160582297,"b2",0.0344240750067337,"b2","","model_3.b2"
