"model","lower95","auc","upper95","outcome","baseline","category"
"Demographics Only",0.67965556849295,0.703307367994679,0.726959167496408,"Incident HTN","Normal","Normal-Incident HTN"
"Demographics+REI3",0.684642115851919,0.708221489102063,0.731800862352206,"Incident HTN","Normal","Normal-Incident HTN"
"Demographics+HB",0.680801785825618,0.704419727626099,0.72803766942658,"Incident HTN","Normal","Normal-Incident HTN"
"Demographics+OSA LASSO MRS",0.693578890947544,0.717019616390136,0.740460341832728,"Incident HTN","Normal","Normal-Incident HTN"
"Demographics+SDB PC1 MRS",0.683474063989881,0.707227356233686,0.730980648477491,"Incident HTN","Normal","Normal-Incident HTN"
"Demographics+SDB PC2 MRS",0.693641861518654,0.717212891446242,0.740783921373831,"Incident HTN","Normal","Normal-Incident HTN"
"Demographics Only",0.66385538696611,0.687493335207053,0.711131283447996,"Incident DM","Normal+PreDM","Normal+PreDM-Incident DM"
"Demographics+REI3",0.66643525236513,0.690160079026878,0.713884905688627,"Incident DM","Normal+PreDM","Normal+PreDM-Incident DM"
"Demographics+HB",0.665911947625112,0.689656654666595,0.713401361708078,"Incident DM","Normal+PreDM","Normal+PreDM-Incident DM"
"Demographics+OSA LASSO MRS",0.697186408021621,0.720511029457351,0.743835650893082,"Incident DM","Normal+PreDM","Normal+PreDM-Incident DM"
"Demographics+SDB PC1 MRS",0.67272279836195,0.696368979470371,0.720015160578792,"Incident DM","Normal+PreDM","Normal+PreDM-Incident DM"
"Demographics+SDB PC2 MRS",0.686896169655264,0.710254068106951,0.733611966558638,"Incident DM","Normal+PreDM","Normal+PreDM-Incident DM"
"Demographics Only",0.626634390027807,0.676632317099243,0.726630244170679,"Incident DM","Normal","Normal-Incident DM"
"Demographics+REI3",0.629473925747873,0.680643092316244,0.731812258884615,"Incident DM","Normal","Normal-Incident DM"
"Demographics+HB",0.639313442142296,0.689955958438449,0.740598474734601,"Incident DM","Normal","Normal-Incident DM"
"Demographics+OSA LASSO MRS",0.644179962927253,0.695429084534143,0.746678206141032,"Incident DM","Normal","Normal-Incident DM"
"Demographics+SDB PC1 MRS",0.626675493840665,0.676811904049258,0.726948314257851,"Incident DM","Normal","Normal-Incident DM"
"Demographics+SDB PC2 MRS",0.645918654419241,0.697387437465258,0.748856220511276,"Incident DM","Normal","Normal-Incident DM"
"Demographics Only",0.606179828394615,0.636407766990291,0.666635705585968,"Incident DM","PreDM","PreDM-Incident DM"
"Demographics+REI3",0.606188613844901,0.636416435506241,0.666644257167582,"Incident DM","PreDM","PreDM-Incident DM"
"Demographics+HB",0.605852976353792,0.636147711511789,0.666442446669786,"Incident DM","PreDM","PreDM-Incident DM"
"Demographics+OSA LASSO MRS",0.638026351757103,0.66774661927878,0.697466886800457,"Incident DM","PreDM","PreDM-Incident DM"
"Demographics+SDB PC1 MRS",0.614147890914188,0.644304785020804,0.674461679127421,"Incident DM","PreDM","PreDM-Incident DM"
"Demographics+SDB PC2 MRS",0.63297151936554,0.662942094313454,0.692912669261367,"Incident DM","PreDM","PreDM-Incident DM"
